Y,X,Z
175,-42,2
175,-41,2
174,-41,2
175,-41,2
174,-40,2
174,-42,3
175,-42,2
176,-40,1
175,-41,1
176,-40,1
177,-33,-1
176,-34,0
178,-32,-1
178,-32,-1
176,-41,1
176,-40,1
177,-41,2
177,-42,1
177,-40,1
177,-40,1
177,-37,0
177,-41,1
178,-42,0
179,-39,0
179,-39,0
177,-37,1
177,-39,1
177,-34,0
177,-39,1
177,-41,1
175,-39,2
176,-40,2
176,-39,2
174,-40,4
175,-38,3
175,-39,3
173,-41,4
173,-38,3
171,-38,5
171,-38,5
170,-41,5
171,-40,5
170,-40,5
170,-40,6
169,-40,5
168,-40,6
168,-38,6
169,-37,5
166,-34,7
167,-37,5
168,-36,5
165,-33,6
166,-32,5
165,-30,6
165,-30,5
164,-31,5
164,-29,4
165,-27,5
165,-28,5
166,-29,4
167,-28,3
169,-31,3
171,-32,3
173,-35,3
174,-36,3
175,-36,3
176,-38,3
177,-37,3
177,-37,3
178,-38,3
178,-37,3
178,-37,4
178,-39,3
178,-39,2
179,-38,3
-179,-40,1
179,-39,1
179,-39,1
178,-38,1
178,-38,1
178,-37,2
178,-38,1
177,-36,1
178,-38,1
178,-37,1
176,-35,1
178,-38,0
177,-34,1
176,-34,2
176,-33,2
176,-36,1
176,-33,2
177,-35,1
177,-37,0
178,-37,0
177,-35,0
178,-36,0
176,-35,1
176,-35,1
177,-36,1
176,-35,1
176,-34,1
177,-36,0
176,-34,1
175,-35,1
176,-36,0
174,-33,2
174,-34,2
173,-33,2
175,-36,1
176,-35,0
176,-35,0
175,-33,1
177,-36,0
177,-35,1
178,-38,1
178,-37,0
179,-39,1
178,-39,2
179,-39,2
179,-40,2
179,-39,2
179,-40,2
178,-33,1
177,-33,3
178,-37,3
178,-39,3
177,-38,4
178,-38,4
177,-38,3
177,-40,4
177,-39,4
176,-38,4
175,-37,4
175,-37,4
175,-38,4
174,-37,4
174,-38,4
173,-36,5
173,-35,4
173,-37,4
173,-37,4
173,-37,5
172,-37,5
172,-37,5
174,-37,4
172,-37,5
174,-37,5
172,-35,6
173,-38,5
173,-36,4
173,-36,4
173,-37,4
172,-36,5
172,-35,4
172,-36,4
171,-36,5
172,-35,4
171,-34,5
171,-35,5
173,-36,4
173,-38,4
175,-39,4
176,-40,3
175,-39,3
176,-41,3
177,-41,3
176,-38,4
177,-40,4
177,-38,3
178,-40,3
177,-41,3
177,-41,3
178,-42,2
178,-41,2
177,-42,2
177,-41,2
176,-40,3
178,-41,1
177,-41,2
179,-42,1
178,-42,3
178,-42,2
177,-43,2
178,-43,2
