Z,X,Y
-92.3473,-63.4683,-174.413
-91.9316,-62.0758,-173.365
-90.5329,-61.392,-171.295
-88.0394,-61.0753,-168.296
-84.0217,-60.9249,-164.209
-79.2881,-60.806,-159.988
-75.4968,-60.7047,-157.226
-73.3562,-60.7298,-156.454
-72.0664,-60.9715,-156.7
-70.4157,-61.4157,-156.652
-68.0827,-61.9083,-155.95
-65.7339,-62.2334,-155.206
-64.2746,-62.3246,-155.166
-64.0858,-62.2958,-155.979
-65.0723,-62.2325,-157.396
-66.9332,-62.1061,-159.199
-69.2863,-61.9017,-161.29
-71.7463,-61.7218,-163.544
-74.0678,-61.6808,-165.769
-76.1743,-61.7313,-167.776
-78.0601,-61.7171,-169.451
-79.833,-61.5798,-170.985
-81.4436,-61.3617,-172.442
-82.7275,-61.1765,-173.738
-83.5916,-61.0934,-174.744
-84.133,-61.0528,-175.441
-84.6495,-60.9502,-176.087
-85.233,-60.7603,-176.755
-85.8183,-60.5611,-177.396
-86.3084,-60.4238,-177.911
-86.6137,-60.3515,-178.218
-86.6888,-60.3226,-178.313
-86.5327,-60.3089,-178.198
-86.2147,-60.2743,-177.926
-85.9296,-60.147,-177.682
-86.0796,-59.7875,-177.811
-87.0086,-59.0906,-178.585
-88.5364,-58.1677,-179.858
-90.0224,-57.4079,178.817
-90.919,-57.1571,177.73
-91.2405,-57.2883,176.805
-91.5133,-57.3012,175.845
-92.1269,-56.9225,174.996
-92.8131,-56.3826,174.799
-93.1526,-56.0953,175.586
-92.8236,-56.2012,177.226
-91.8297,-56.5451,179.243
-90.3861,-57.0077,-178.837
-88.6302,-57.6005,-177.076
-86.5768,-58.2573,-175.242
-84.2544,-58.7891,-173.117
-81.8867,-59.0984,-170.883
-79.8388,-59.2834,-169.034
-78.4609,-59.4898,-168.013
-77.8085,-59.7476,-167.811
-77.641,-60.0334,-168.018
-77.4148,-60.3504,-168.023
-76.7652,-60.6685,-167.501
-75.6827,-60.8497,-166.54
-74.6597,-60.8353,-165.679
-73.8964,-60.68,-165.056
-73.2802,-60.5397,-164.562
-72.4734,-60.5308,-163.879
-71.374,-60.6355,-162.921
-70.1591,-60.726,-161.888
-69.1144,-60.6924,-161.083
-68.4162,-60.5565,-160.642
-67.9148,-60.4009,-160.382
-67.4781,-60.3026,-160.088
-67.1732,-60.3175,-159.767
-67.1689,-60.4316,-159.648
-67.6636,-60.602,-160.042
-68.7211,-60.7917,-161.082
-70.2274,-60.9908,-162.667
-71.8736,-61.1259,-164.395
-73.4942,-61.133,-166.078
-75.0044,-61.011,-167.627
-76.4219,-60.854,-169.05
-77.8164,-60.7478,-170.41
-79.2141,-60.6734,-171.73
-80.5661,-60.5622,-172.978
-81.7862,-60.4048,-174.101
-82.7697,-60.2528,-175.014
-83.4492,-60.1595,-175.706
-83.8802,-60.1276,-176.235
-84.1756,-60.1245,-176.65
-84.4601,-60.116,-177.013
-84.963,-60.0905,-177.53
-85.9472,-60.0495,-178.456
-87.2634,-59.9853,-179.684
-88.6702,-59.8813,179.027
-90.0239,-59.7428,177.809
-91.1584,-59.5349,176.899
-92.2525,-59.1769,176.104
-93.5763,-58.6348,175.166
-95.437,-58.0806,173.724
-97.6385,-57.646,171.887
-99.6584,-57.2634,170.068
-101.078,-56.7207,168.622
-101.889,-55.989,167.617
-102.288,-55.3882,166.979
-102.307,-55.3205,166.821
-101.696,-55.9273,167.517
-99.9984,-56.9782,169.528
-96.8592,-58.0509,173.031
-92.6934,-58.8051,177.404
-88.6866,-59.1757,-178.589
-85.8171,-59.3795,-175.864
-83.9022,-59.6761,-174.254
-82.1691,-60.0771,-173.07
-80.223,-60.4348,-171.88
-78.3142,-60.6876,-170.745
-76.712,-60.8808,-169.8
-75.3622,-61.0291,-169.01
-74.1339,-61.1088,-168.267
-73.0504,-61.1438,-167.539
-72.1598,-61.2206,-166.837
-71.5032,-61.3813,-166.251
-71.0849,-61.5315,-165.965
-71.0161,-61.5246,-166.071
-71.1998,-61.3538,-166.464
-71.4348,-61.1706,-166.924
-71.7769,-61.1519,-167.448
-72.4407,-61.2983,-168.184
-73.5392,-61.5071,-169.229
-74.9052,-61.6733,-170.504
-76.2787,-61.7301,-171.833
-77.5996,-61.6581,-173.125
-78.8931,-61.5257,-174.309
-80.1119,-61.4487,-175.327
-81.2686,-61.4671,-176.273
-82.541,-61.4947,-177.362
-84.133,-61.4262,-178.71
-85.866,-61.2033,179.93
-87.4947,-60.8352,178.734
-89.0353,-60.3627,177.631
-90.7306,-59.8165,176.391
-92.5534,-59.1999,175.076
-94.1518,-58.5452,174.019
-95.3621,-57.9266,173.356
-96.3861,-57.3764,172.888
-97.4147,-56.8264,172.381
-98.3073,-56.2063,171.897
-98.8906,-55.5393,171.595
-99.3484,-54.903,171.375
-99.8879,-54.3471,171.144
-100.498,-53.887,170.913
-101.047,-53.5399,170.729
-101.504,-53.2695,170.637
-102.036,-52.9576,170.519
-102.78,-52.5437,170.287
-103.744,-52.1297,169.933
-104.803,-51.8686,169.525
-105.743,-51.8097,169.18
-106.37,-51.9266,168.981
-106.636,-52.2043,168.909
-106.706,-52.6424,168.848
-106.75,-53.2303,168.712
-106.81,-53.9666,168.505
-106.842,-54.8365,168.267
-106.671,-55.8588,168.175
-106.354,-57.058,168.168
-105.962,-58.4564,168.205
-105.547,-60.0045,168.248
-105.171,-61.613,168.218
-104.905,-63.275,168.021
-104.794,-65.0536,167.597
-104.786,-66.9557,166.974
-104.771,-68.9083,166.249
-104.729,-70.8713,165.488
-104.736,-72.842,164.697
-104.809,-74.7691,163.918
-104.859,-76.6029,163.225
-104.839,-78.4117,162.577
-104.842,-80.3177,161.761
-104.921,-82.3068,160.663
-104.748,-84.1911,159.655
-103.216,-85.7423,159.961
