Y,X,Z
-177,-58,-6
-177,-58,-5
-178,-57,-4
-179,-57,-4
-178,-57,-4
-174,-55,-9
-179,-57,-5
-178,-57,-5
-176,-57,-6
-176,-58,-7
-175,-57,-8
-175,-59,-8
-176,-56,-6
-176,-53,-5
-176,-58,-4
-175,-57,-5
-175,-55,-5
-179,-55,-3
-174,-33,172
-175,-34,174
-172,-32,173
-174,-44,-5
-176,-52,-3
-176,-51,-2
-176,-52,-3
-175,-53,-5
-178,-56,-3
-178,-54,-2
-176,-54,-5
-177,-53,-4
-177,-55,-4
-177,-54,-4
179,-55,-2
-177,-57,-4
-178,-55,-3
-178,-55,-3
-179,-57,-2
179,-54,-3
-178,-55,-4
-177,-55,-4
-179,-54,-3
-178,-55,-3
-176,-53,-4
-175,-53,-4
-175,-53,-4
-178,-56,-2
-177,-54,-3
-177,-54,-3
-175,-54,-5
-178,-54,-3
-179,-57,-3
-176,-56,-4
178,-54,-2
-179,-54,-3
-179,-53,-2
179,-55,-2
179,-55,-3
-177,-53,-3
-176,-55,-4
-179,-52,-2
-178,-55,-2
-178,-54,-2
-178,-55,-3
-178,-55,-2
-179,-51,-4
-179,-55,-2
-179,-54,-1
-177,-52,-3
-175,-47,-6
-176,-53,-4
-177,-51,-3
-176,-51,-4
179,-51,-2
-178,-50,-2
-178,-52,-3
-178,-50,-2
-179,-48,-2
-178,-47,-3
-178,-44,-3
-178,-45,-3
178,-54,0
-179,-45,-1
179,-41,-2
176,-55,1
179,-55,-1
177,-57,0
177,-55,0
178,-54,0
177,-57,0
179,-54,0
178,-56,0
178,-55,0
178,-56,0
-178,-56,-1
-179,-54,-1
179,-58,0
178,-57,0
-179,-54,-1
179,-57,0
-179,-53,0
-179,-55,0
179,-57,0
177,-58,1
176,-58,2
176,-57,1
179,-55,0
176,-57,1
177,-56,1
176,-57,2
177,-57,1
175,-57,1
177,-57,2
176,-56,2
175,-57,2
176,-56,2
176,-57,2
176,-57,2
176,-57,2
177,-57,2
175,-57,2
175,-56,2
178,-56,1
178,-56,0
177,-58,2
176,-54,1
177,-56,1
176,-56,2
174,-57,3
178,-55,0
177,-56,2
175,-58,2
177,-58,2
177,-59,2
-179,-56,0
178,-57,1
178,-56,2
176,-57,2
176,-58,3
177,-58,3
176,-59,4
175,-57,4
175,-58,4
175,-58,4
174,-59,6
175,-58,4
174,-58,6
175,-58,5
174,-58,6
175,-60,6
178,-59,3
176,-55,4
176,-55,3
175,-59,5
178,-51,1
179,-57,2
176,-59,4
176,-59,4
176,-60,3
-179,-59,0
-178,-59,0
179,-59,0
-179,-59,0
-178,-56,-1
-179,-57,0
179,-58,1
177,-56,2
179,-53,1
177,-56,4
176,-54,5
176,-55,6
174,-54,7
174,-56,7
174,-55,7
176,-53,6
175,-53,6
175,-48,4
173,-50,6
174,-36,3
171,-41,6
173,-36,4
170,-53,8
169,-54,9
169,-54,6
169,-54,5
167,-53,6
167,-45,7
176,-54,-1
0,0,0
178,-55,-6
0,0,0
0,0,0
0,0,0
0,0,0
174,-47,-3
177,-48,-5
0,0,0
177,-47,-3
177,-44,-2
179,-44,-2
176,-45,0
176,-44,1
176,-40,0
175,-43,2
177,-38,1
177,-40,3
176,-31,2
174,42,-6
173,43,-8
171,40,-6
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
