Y,X,Z
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-177,-35,-15
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-175,-36,-13
0,0,0
0,0,0
-175,-30,-14
176,32,-15
-173,-37,-14
-171,-41,-17
-172,-38,-16
178,36,-15
-171,-39,-16
-173,-34,-14
178,29,-13
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-170,-43,-16
-170,-45,-16
-171,-44,-16
-169,-43,-17
-169,-42,-16
-170,-43,-16
-169,-45,-16
-170,-45,-16
-170,-44,-16
-171,-44,-16
-170,-45,-17
-172,-44,-15
-171,-42,-15
-170,-43,-16
0,0,0
0,0,0
0,0,0
0,0,0
-172,-40,-15
0,0,0
-169,-42,-16
0,0,0
0,0,0
-170,-46,-17
-168,-44,-16
-169,-43,-16
-168,-44,-17
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
179,34,-13
178,30,-11
-177,-29,-11
-167,-43,-18
-167,-43,-17
-167,-44,-18
-177,37,-12
-169,-36,-15
-177,40,-11
-177,40,-12
-176,34,-11
0,0,0
0,0,0
0,0,0
-179,34,-12
0,0,0
-179,40,-11
-178,33,-12
-178,38,-12
-179,41,-12
-171,-38,-15
-171,-38,-15
0,0,0
-166,-42,-18
0,0,0
-164,-41,-19
-164,-42,-20
-165,-42,-19
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-178,32,-10
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-164,-39,-18
-165,-39,-18
-166,-40,-19
-165,-41,-19
-166,-41,-18
