Y,X,Z
-165,52,-4
-166,55,-5
-167,56,-8
-167,58,-5
-169,37,-10
-169,56,-9
-169,55,-10
-171,57,-10
-170,53,-10
-171,53,-11
-169,54,-10
-170,53,-10
-171,51,-11
-170,50,-12
-171,55,-12
-172,54,-13
-171,54,-13
-172,52,-13
-172,51,-14
-171,51,-13
-172,52,-13
-172,50,-15
-174,49,-16
-173,48,-15
170,-65,-6
170,-66,-6
170,-66,-7
-171,46,-13
-173,42,-17
172,-67,-9
174,-67,-11
175,-65,-11
-176,44,-23
-176,42,-21
-176,42,-23
-176,43,-25
-176,42,-25
-174,38,-20
-177,41,-26
-177,47,-24
-177,43,-23
-172,39,-21
-175,49,-22
-173,45,-19
-173,49,-21
-173,52,-19
-170,47,-14
-174,53,-18
-171,51,-13
-169,55,-13
-172,54,-14
-172,54,-14
-175,53,-18
-178,53,-21
-176,50,-19
-176,48,-20
-179,50,-24
-176,48,-21
-176,47,-21
-173,45,-20
-172,48,-17
179,56,-25
-179,53,-25
178,52,-26
179,52,-25
-178,53,-23
-179,50,-25
179,51,-26
-178,47,-25
177,52,-28
-178,48,-23
178,47,-25
177,50,-29
176,53,-29
177,51,-26
179,50,-26
177,50,-27
176,51,-29
175,49,-30
173,53,-30
176,46,-27
177,49,-28
175,52,-28
171,54,-31
175,53,-28
174,52,-31
170,54,-33
173,51,-28
173,50,-30
171,53,-32
172,48,-30
172,51,-31
172,50,-31
169,52,-34
167,52,-35
171,49,-28
170,51,-31
168,47,-34
167,50,-34
164,53,-37
168,51,-32
167,51,-34
164,54,-37
170,47,-31
166,52,-34
168,49,-33
167,48,-34
164,52,-36
164,50,-38
159,55,-40
165,53,-35
164,52,-37
167,47,-32
164,48,-35
165,50,-35
160,53,-39
159,53,-39
163,53,-36
162,55,-38
162,52,-36
169,48,-30
166,50,-33
163,53,-36
164,52,-34
157,57,-40
159,55,-38
159,55,-38
167,51,-31
166,50,-31
166,48,-32
160,52,-36
163,52,-35
163,53,-32
162,54,-34
161,54,-36
163,53,-34
163,51,-34
163,52,-35
161,55,-35
163,55,-33
164,53,-32
164,55,-33
165,54,-30
168,55,-28
161,57,-35
161,57,-35
162,59,-36
159,60,-37
162,57,-35
162,57,-35
163,57,-34
171,52,-26
171,50,-25
170,49,-26
167,52,-29
170,51,-27
169,52,-29
169,55,-29
168,54,-28
166,57,-30
168,55,-29
165,58,-31
167,57,-30
171,51,-26
174,50,-23
170,52,-25
169,53,-27
173,52,-23
174,51,-23
173,53,-23
163,59,-33
164,60,-33
162,60,-34
162,61,-34
168,60,-31
162,63,-33
-175,21,162
165,59,-31
170,56,-27
166,60,-29
167,61,-28
175,56,-22
168,62,-28
166,62,-28
167,64,-27
167,64,-29
168,63,-30
169,61,-28
170,61,-26
179,55,-18
168,65,-28
169,63,-27
171,62,-24
171,64,-25
160,49,-7
0,0,0
175,60,-22
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-172,66,-9
0,0,0
-173,67,-10
-174,65,-12
-175,64,-14
-176,65,-13
-178,62,-17
-177,58,-16
0,0,0
-173,58,-15
-179,62,-19
-178,58,-20
-174,56,-17
-171,60,-12
-177,63,-17
-173,63,-12
-171,60,-12
-167,68,-5
-167,63,-5
-163,62,-3
-161,62,-1
-164,62,-3
-164,64,-2
-165,62,-3
-163,66,-3
-166,64,-7
-167,62,-7
-164,60,-5
-163,63,-3
-166,62,-5
-160,62,-1
-153,55,3
-167,9,-9
-163,65,-2
-162,63,-1
-167,-2,-12
-155,58,1
-158,60,0
-158,57,-1
-164,64,-5
-164,65,-4
-164,65,-4
-158,55,-1
-156,57,0
-166,-15,-17
-165,66,-5
-165,64,-4
-167,65,-8
-167,66,-8
-159,58,-1
0,0,0
-164,65,-4
-163,61,-6
-165,63,-6
-164,63,-5
-163,64,-4
-164,64,-5
-163,66,-4
-163,64,-4
-165,64,-5
-165,66,-6
-167,66,-7
-168,62,-9
-167,62,-8
-169,62,-9
-165,64,-5
-166,63,-7
-167,64,-7
-168,64,-8
-170,63,-11
-165,59,-6
-168,57,-8
-164,60,-7
-165,57,-7
-163,61,-5
-167,-6,-16
-171,63,-11
-167,63,-7
-167,64,-7
-167,65,-7
-169,62,-8
-168,64,-9
-171,64,-10
-161,57,-4
-168,65,-8
-168,65,-8
0,0,0
0,0,0
-166,57,-7
-168,66,-6
167,53,-4
-167,61,-8
-165,61,-6
0,0,0
-169,60,-9
-168,60,-8
-168,61,-10
-166,58,-8
170,-32,14
169,53,-2
-168,64,-7
-171,65,-10
-168,63,-8
-167,62,-6
