Z,X,Y
3.7386,-85.5625,-87.4542
2.968,-85.9875,-89.357
3.79208,-86.3956,-89.7349
5.80668,-86.6047,-89.0324
6.3857,-86.7197,-89.8083
3.92036,-86.9265,-93.4727
-1.66158,-87.3004,-99.8618
-12.1741,-87.791,-110.659
-32.9784,-88.2065,-131.309
-64.5684,-88.2293,-162.544
-92.2127,-87.7825,170.154
-110.71,-87.1426,151.92
-122.954,-86.4998,139.909
-130.403,-85.9381,132.705
-135.099,-85.4286,128.196
-138.192,-84.9464,125.18
-140.548,-84.5151,122.796
-142.566,-84.1795,120.713
-144.069,-83.9419,119.168
-145.089,-83.7018,118.093
-145.551,-83.4381,117.559
-145.772,-83.1818,117.26
-146.019,-82.9797,116.968
-146.183,-82.8734,116.798
-146.114,-82.8712,116.851
-145.676,-82.9518,117.229
-144.842,-83.05,117.949
-143.64,-83.0821,119.002
-142.059,-82.9869,120.467
-140.24,-82.7716,122.227
-138.574,-82.5212,123.824
-137.864,-82.3023,124.361
-138.746,-82.0624,123.162
-140.621,-81.65,120.907
-141.926,-81.0171,119.401
-141.882,-80.3966,119.67
-140.807,-80.1437,121.415
-139.417,-80.4359,123.786
-137.77,-81.1988,126.406
-135.531,-82.1685,129.332
-132.8,-83.0861,132.362
-129.935,-83.8767,135.236
-126.667,-84.5972,138.37
-121.715,-85.3334,143.152
-114.369,-86.0515,150.306
-106.391,-86.619,158.041
-102.273,-86.9735,161.875
-104.107,-87.1837,159.754
-109.602,-87.3525,154.05
-114.646,-87.5947,148.874
-116.504,-87.9332,146.912
-111.969,-88.2654,151.284
-103.239,-88.4434,159.785
-93.0186,-88.4814,169.798
-83.9439,-88.4764,178.694
-74.0106,-88.483,-171.578
-62.7116,-88.4378,-160.559
-52.8327,-88.2593,-151.024
-47.058,-87.9624,-145.602
-45.1065,-87.6523,-143.933
-44.9285,-87.3793,-143.983
-45.3952,-87.131,-144.637
-46.3986,-86.9083,-145.763
-48.9518,-86.7342,-148.381
-54.5881,-86.659,-154.043
-64.3423,-86.6786,-163.8
-78.0732,-86.702,-177.53
-92.1719,-86.5841,168.407
-103.681,-86.3036,156.964
-111.74,-85.9245,148.999
-117.714,-85.5098,143.154
-122.986,-85.069,138.044
-127.568,-84.5899,133.652
-130.984,-84.0871,130.426
-133.349,-83.6023,128.221
-135.035,-83.189,126.637
-136.306,-82.8762,125.373
-137.19,-82.6614,124.435
-137.659,-82.5231,123.932
-137.85,-82.4163,123.753
-138.32,-82.2501,123.338
-139.692,-81.9217,122.1
-141.634,-81.4449,120.36
-143.593,-80.8602,118.659
-145.329,-80.2077,117.201
-146.322,-79.6335,116.541
-146.632,-79.1483,116.607
-146.634,-78.7016,117.01
-147.464,-78.1668,116.539
-149.114,-77.4819,115.142
-150.527,-76.6682,113.878
-150.779,-75.8075,113.73
-150.147,-75.0418,114.5
-149.606,-74.5626,115.237
-149.651,-74.5761,115.417
-150.016,-75.2553,115.266
-149.806,-76.6197,115.624
-147.778,-78.4271,117.65
-143.283,-80.2424,121.949
-137.322,-81.7317,127.573
-132.348,-82.8418,132.156
-129.844,-83.6718,134.221
-128.821,-84.2339,134.693
-127.394,-84.5686,135.448
-125.341,-84.836,136.797
-123.365,-85.1504,138.132
-121.436,-85.4686,139.524
-119.064,-85.7137,141.475
-116.371,-85.9164,143.878
-113.982,-86.151,146.087
-112.547,-86.3597,147.437
-112.159,-86.3828,147.716
-112.144,-86.1751,147.599
-112.092,-85.8612,147.458
-112.415,-85.5629,146.928
-114.061,-85.3066,145.173
-117.468,-85.0385,141.797
-122.275,-84.7135,137.104
-127.231,-84.2912,132.265
-131.057,-83.7457,128.544
-133.398,-83.1444,126.333
-134.969,-82.639,124.934
-136.594,-82.2858,123.496
-138.53,-81.956,121.736
-140.486,-81.4991,119.974
-142.268,-80.9301,118.471
-143.494,-80.392,117.61
-144.002,-79.8978,117.488
-144.056,-79.3494,117.832
-144.297,-78.6763,118.035
-144.802,-77.9549,118.038
-145.049,-77.3139,118.33
-144.846,-76.787,119.075
-144.534,-76.3262,119.931
-144.299,-75.8895,120.676
-143.795,-75.4857,121.595
-142.778,-75.1159,122.921
-141.719,-74.7327,124.251
-141.086,-74.3633,125.211
-140.92,-74.0493,125.765
-140.995,-73.7841,126.062
-141.048,-73.5366,126.361
-141.049,-73.2315,126.738
-141.135,-72.8565,127.126
-141.54,-72.4836,127.307
-142.334,-72.2169,127.151
-143.283,-72.1136,126.776
-144.131,-72.1716,126.336
-144.839,-72.3532,125.821
-145.649,-72.5973,125.029
-146.759,-72.8526,123.818
-148.217,-73.1149,122.175
-149.958,-73.401,120.187
-151.836,-73.8063,118.019
-154.134,-74.3084,115.385
-157.124,-74.8704,112.016
-160.818,-75.4318,107.909
-165.009,-75.9245,103.272
-169.63,-76.3093,98.1723
-174.814,-76.5539,92.4576
179.498,-76.6308,86.1465
173.638,-76.5477,79.5477
167.794,-76.3297,72.8959
162.004,-75.9865,66.3002
156.398,-75.5421,59.9293
151.088,-75.0327,53.8639
146.07,-74.4291,48.022
141.506,-73.6419,42.4994
137.771,-72.6716,37.6646
135.083,-71.673,33.8044
133.321,-70.8562,30.9
132.286,-70.3665,28.856
131.918,-70.2791,27.7337
132.372,-70.5717,27.8012
133.661,-71.1665,29.1781
135.786,-71.9851,31.8944
138.711,-72.9608,35.8544
142.799,-74.0895,41.2945
148.663,-75.2874,48.6825
156.868,-76.3822,58.5026
167.78,-77.1643,71.1046
-178.921,-77.3503,86.1659
-165.49,-76.6847,101.403
-155.136,-75.3233,113.595
-149.248,-73.8201,121.354
-147.362,-72.7239,124.977
-148.493,-72.317,125.04
-151.711,-72.6422,121.991
-156.204,-73.6376,116.405
-161.37,-75.2611,108.938
-167.102,-77.4733,100.006
-174.061,-80.0325,89.5236
176.589,-82.4822,77.0602
165.147,-84.2999,63.6327
157.218,-85.2737,55.298
161.343,-85.4842,60.6858
177.002,-84.7037,78.9371
-168.168,-82.7526,96.9104
-159.213,-80.3919,108.626
-153.273,-78.8292,116.165
-147.696,-78.7277,121.832
-141.898,-79.8757,126.376
-137.507,-81.4803,128.882
-136.973,-82.785,127.88
-140.568,-83.4108,123.772
-144.604,-83.3782,120.258
-145.843,-82.9822,119.966
-144.513,-82.5397,121.984
-142.69,-82.2901,123.894
-141.713,-82.2628,124.421
-141.819,-82.3522,123.588
-142.034,-82.3349,122.642
-141.583,-82.0487,122.594
-140.512,-81.4849,123.463
-139.417,-80.8105,124.608
-138.747,-80.2783,125.417
-138.326,-80.0356,125.937
-138.16,-79.9624,126.088
-138.146,-79.8972,126.02
-138.508,-79.711,125.486
-138.992,-79.4981,124.767
-139.635,-79.2859,123.849
-140.517,-79.0393,122.753
-141.753,-78.7058,121.419
-143.141,-78.3717,120.055
-144.526,-78.1692,118.759
-145.759,-78.0112,117.592
-146.811,-77.7697,116.573
-147.442,-77.4111,115.965
-147.829,-77.0923,115.619
-148.171,-76.8854,115.276
-148.639,-76.7309,114.755
-149.048,-76.5546,114.303
-149.132,-76.3714,114.19
-148.582,-76.3838,114.712
-147.748,-76.5357,115.377
-146.808,-76.732,116.046
-146.001,-76.8141,116.595
-145.538,-76.7724,116.917
-145.162,-76.7511,117.296
-144.857,-76.7903,117.721
-144.979,-76.7544,117.836
-145.54,-76.5238,117.669
-146.573,-76.0754,117.132
-147.879,-75.5548,116.316
-149.186,-75.1537,115.417
-150.343,-74.8928,114.565
-151.232,-74.7489,113.929
-151.539,-74.7319,113.812
-151.026,-74.9278,114.335
-149.986,-75.3034,115.192
-148.803,-75.7055,116.06
-147.89,-76.0034,116.686
-147.215,-76.1995,117.135
-146.452,-76.4423,117.695
-145.86,-76.6541,118.113
-145.762,-76.7004,118.18
-146.192,-76.572,117.909
-146.94,-76.3982,117.441
-147.501,-76.3601,117.135
-147.695,-76.4488,117.137
-147.797,-76.5428,117.257
-147.976,-76.5856,117.335
-148.096,-76.6137,117.498
-147.939,-76.6761,117.87
-147.772,-76.7158,118.173
-147.889,-76.697,118.185
-148.271,-76.6146,117.964
-148.48,-76.5308,117.893
-148.351,-76.4696,118.079
-148.177,-76.4217,118.274
-148.118,-76.4118,118.324
-147.979,-76.4409,118.408
-147.504,-76.491,118.713
-147.053,-76.4402,118.979
-146.864,-76.3165,119.064
-146.962,-76.1897,118.958
-146.947,-76.1473,119.009
-146.639,-76.1604,119.294
-146.29,-76.1665,119.655
-146.063,-76.1685,119.943
-145.976,-76.1688,120.127
-145.772,-76.1684,120.342
-145.517,-76.1474,120.575
-145.356,-76.1186,120.739
-145.257,-76.1578,120.919
-144.988,-76.3044,121.337
-144.362,-76.5112,122.059
-143.655,-76.6787,122.809
-143.188,-76.7563,123.314
-143.006,-76.7837,123.538
-142.761,-76.8078,123.742
-142.403,-76.8407,124.01
-142.115,-76.8783,124.229
-141.959,-76.936,124.404
-141.838,-77.0083,124.647
-141.539,-77.0742,125.055
-141.299,-77.079,125.43
-141.236,-77.0538,125.658
-141.391,-77.0485,125.752
-141.421,-77.0865,125.932
-141.173,-77.1447,126.265
-141.05,-77.1582,126.455
-141.077,-77.1723,126.507
-141.218,-77.2169,126.482
-141.157,-77.2917,126.563
-140.907,-77.3582,126.727
-140.739,-77.3962,126.805
-140.602,-77.4534,126.861
-140.316,-77.5405,127.085
-139.854,-77.6159,127.5
-139.27,-77.6828,128.015
-138.863,-77.7721,128.443
-138.564,-77.9232,128.875
-138.028,-78.1145,129.542
-137.072,-78.3101,130.567
-136.286,-78.4277,131.423
-136.075,-78.4358,131.773
-136.31,-78.3637,131.741
-136.34,-78.2902,131.858
-136.017,-78.294,132.196
-135.489,-78.3779,132.621
-135.049,-78.4829,132.915
-134.745,-78.5658,133.068
-134.541,-78.6008,133.137
-134.359,-78.6142,133.245
-134.179,-78.6093,133.432
-133.941,-78.5811,133.756
-133.564,-78.5397,134.261
-132.916,-78.5159,135.047
-131.915,-78.5186,136.153
-130.726,-78.5376,137.387
-129.82,-78.5196,138.292
-129.644,-78.3994,138.49
-130.004,-78.1537,138.247
-130.336,-77.8034,138.105
-130.078,-77.458,138.538
-129.196,-77.2025,139.571
-127.868,-77.0796,141.078
-126.381,-77.02,142.81
-124.851,-76.9828,144.656
-123.531,-76.9808,146.315
-122.676,-77.0308,147.454
-122.489,-77.1022,147.796
-122.695,-77.1793,147.537
-122.916,-77.326,146.984
-123.238,-77.618,146.033
-124.33,-78.0457,144.17
-126.532,-78.5509,141.225
-129.704,-79.0344,137.403
-132.899,-79.4758,133.567
-134.984,-79.9808,130.726
-136.124,-80.5632,128.629
-138.207,-81.0064,125.42
-142.485,-81.0778,119.927
-146.905,-80.829,114.224
-147.482,-80.6359,112.253
-141.355,-80.729,116.956
-128.336,-80.7288,128.831
-112.717,-80.1087,143.948
-100.319,-78.8932,156.568
-92.9588,-77.6112,164.705
-89.4993,-76.5443,169.174
-88.5877,-75.6996,171.079
-89.0186,-74.9958,171.522
-89.7498,-74.3869,171.546
-90.2442,-73.8349,171.707
-90.5838,-73.3002,171.916
-91.2531,-72.8909,171.674
-92.9035,-72.9093,170.403
-96.6229,-73.7516,167.146
-104.825,-75.5976,159.714
-122.412,-78.0544,143.396
-154.934,-79.3775,112.559
169.362,-77.3078,78.387
