Y,X,Z
-165,-49,-14
-166,-48,-13
-166,-47,-13
-166,-47,-12
-165,-44,-14
-166,-49,-13
-165,-47,-13
-165,-47,-13
-167,-45,-12
-167,-47,-13
-165,-39,-14
-167,-46,-12
-167,-47,-12
-167,-45,-11
-168,-44,-10
-170,-43,-9
-170,-42,-9
-171,-41,-8
-170,-43,-9
-172,-38,-7
-172,-41,-7
-172,-42,-7
-174,-42,-5
-174,-38,-6
-175,-40,-4
-174,-40,-4
-174,-40,-4
-177,-36,-3
-174,-39,-3
-175,-38,-3
-176,-38,-2
-177,-37,-2
-176,-39,-2
-176,-38,-1
-176,-39,-1
-176,-38,-1
-176,-39,0
-176,-39,0
-177,-39,0
-176,-39,0
-175,-39,0
-177,-30,0
-177,-27,0
-177,-37,1
-177,-38,1
-176,-38,0
-175,-41,0
-175,-41,0
-174,-41,0
-174,-21,0
-169,-15,-1
-170,-16,0
-170,-16,-1
-174,-42,0
-174,-44,0
-175,-41,1
-174,-42,1
-175,-44,1
-175,-42,2
-174,-42,1
-173,-41,1
-174,-41,2
-175,-40,2
-174,-40,1
-174,-42,1
-173,-41,1
-175,-44,2
-172,-29,0
-173,-43,0
-173,-44,0
-172,-42,0
-171,-44,-1
-167,-26,-2
-171,-44,-1
-172,-42,0
-174,-41,0
-172,-44,-1
-173,-43,0
-171,-42,-2
-172,-44,-1
-170,-42,-3
-170,-43,-3
-172,-43,-1
-171,-42,-2
-171,-38,-3
-162,-13,-7
-168,-43,-5
-167,-35,-5
-166,-36,-4
-168,-41,-3
-167,-37,-3
-169,-35,-4
-169,-37,-3
-171,-40,-2
-172,-41,-1
-173,-41,0
-173,-41,0
-174,-42,0
-175,-42,0
-175,-41,1
-177,-41,2
-178,-39,2
-179,-41,2
179,-40,3
179,-41,2
178,-38,3
176,-37,5
176,-38,4
175,-32,7
175,-36,4
175,-34,5
174,-34,5
175,-34,4
176,-36,4
176,-37,4
176,-34,4
178,-39,2
177,-36,3
178,-38,1
-178,-44,0
-177,-45,-1
-176,-46,-3
-175,-48,-4
-174,-49,-4
-172,-50,-5
-172,-48,-4
-172,-40,-5
-172,-52,-5
-171,-48,-5
-170,-54,-5
-171,-53,-5
-168,-34,-8
-170,-55,-6
