Z,X,Y
-27.0025,-73.7323,-127.047
-31.1761,-72.2697,-130.89
-34.9387,-70.7365,-134.024
-38.0765,-69.1766,-136.499
-40.8214,-67.6963,-138.744
-43.3159,-66.3975,-140.686
-45.5919,-65.2083,-142.155
-47.5453,-64.1727,-143.332
-48.8218,-63.5435,-144.018
-49.6268,-63.1035,-144.384
-50.3786,-62.618,-144.749
-51.2161,-62.1491,-145.132
-52.2509,-61.6437,-145.645
-53.5203,-61.0548,-146.257
-54.7402,-60.33,-146.679
-55.7394,-59.5444,-146.933
-56.8212,-58.8106,-147.262
-58.2878,-58.1008,-147.748
-59.8239,-57.2691,-147.86
-61.0743,-56.2153,-147.316
-61.698,-55.287,-146.147
-61.7999,-54.7355,-144.669
-61.7565,-54.3547,-143.022
-61.7525,-53.9723,-141.16
-61.773,-53.4757,-139.163
-61.6622,-53.1529,-137.057
-60.9292,-53.245,-134.506
-59.3344,-53.517,-131.416
-57.508,-53.7065,-128.168
-55.7864,-53.8365,-125.079
-53.5598,-54.2826,-121.752
-50.8095,-54.9619,-118.131
-48.4067,-55.443,-114.975
-46.6244,-55.7374,-112.487
-44.7723,-56.3574,-110.138
-42.6809,-57.4625,-107.726
-40.7574,-58.6424,-105.308
-38.8642,-59.7545,-102.65
-36.4924,-61.0038,-99.4261
-33.7393,-62.5125,-95.9986
-31.3643,-64.1114,-93.2374
-28.5319,-65.4732,-90.2552
-24.4982,-66.5318,-86.3996
-20.095,-67.295,-82.4718
-16.5171,-67.9725,-79.4148
-12.7921,-68.7205,-76.1805
-7.28381,-69.4234,-71.2889
0.112743,-69.9781,-64.7673
8.62834,-70.3829,-57.3373
17.2546,-70.5416,-49.8012
24.582,-70.4939,-43.2668
30.1898,-70.3359,-38.1388
35.0222,-69.9545,-33.7234
39.8263,-69.1446,-29.3371
43.927,-68.0861,-25.5296
46.7986,-67.2257,-22.9111
49.4812,-66.5605,-20.5738
52.6274,-65.7659,-17.832
55.7328,-64.8671,-15.0941
58.5644,-64.0282,-12.563
61.225,-63.3855,-10.1895
63.8545,-62.7988,-7.89323
66.6715,-61.8877,-5.43838
69.6323,-60.7354,-2.8872
72.577,-59.6057,-0.441375
75.3018,-58.6698,1.51748
78.174,-57.5807,3.30736
81.3212,-56.1066,5.2788
84.3444,-54.7148,7.16416
87.0159,-53.6583,8.77954
89.3705,-52.6144,10.2109
91.5988,-51.1468,11.5487
93.6459,-49.4961,12.7839
95.4791,-48.2304,13.9601
97.1752,-47.2899,15.0515
98.633,-46.3453,15.8863
99.8413,-45.3473,16.4841
100.935,-44.5008,17.0322
101.959,-43.8052,17.4462
103.136,-42.9477,17.7006
104.534,-41.8278,18.0136
105.91,-41.0681,18.712
106.976,-41.0289,19.4148
107.549,-40.8658,19.4612
107.815,-40.0334,19.0871
108.032,-39.0531,18.744
108.489,-38.716,18.6154
109.103,-38.6122,18.3907
109.688,-37.7041,17.9911
110.278,-36.5893,17.8325
110.879,-36.2687,17.9856
111.478,-36.2738,18.175
112.076,-35.8338,18.3346
112.724,-35.0551,18.3931
113.505,-34.4498,18.3722
114.315,-34.2142,18.2824
115.083,-33.9027,18.0666
115.922,-33.181,17.7582
116.793,-32.1735,17.5354
117.662,-31.4601,17.7285
118.498,-31.4079,18.3178
119.1,-31.1807,18.9441
119.604,-30.2835,19.1002
120.344,-29.4976,19.183
121.022,-29.1777,19.319
121.259,-28.9433,19.1213
121.319,-28.5801,18.8493
121.52,-28.0909,18.8307
121.875,-27.5588,18.9416
122.089,-27.2202,18.8028
122.171,-27.0038,18.4065
122.334,-26.7484,17.8875
122.545,-26.4744,17.4108
122.935,-26.1443,17.0319
123.417,-25.8442,16.7376
123.513,-25.6232,16.4394
123.394,-25.4379,16.1856
123.079,-25.4621,15.6873
122.548,-25.6052,15.1272
122.263,-25.7443,14.8982
122.454,-25.8705,15.0573
122.499,-25.9872,15.0951
122.277,-26.2305,14.8612
121.859,-26.5692,14.4663
121.364,-26.8542,14.0403
121.037,-27.1424,13.6464
120.824,-27.6567,13.1571
120.641,-28.2655,12.5939
120.373,-28.621,12.0784
120.089,-28.9871,11.5219
119.98,-29.5273,10.7545
120.071,-29.6701,10.2325
120.077,-29.5045,10.1031
119.829,-29.7347,9.76946
119.519,-30.4271,9.18286
119.295,-31.0568,8.73341
119.193,-31.2579,8.44897
119.089,-31.3701,8.13369
118.875,-31.8544,7.81024
118.702,-32.4882,7.63716
118.446,-32.9359,7.29146
117.818,-33.3201,6.67402
117.125,-33.8284,6.20261
116.787,-34.5374,5.90585
116.643,-35.328,5.58961
116.529,-35.8972,5.4404
116.292,-36.3198,5.2731
115.871,-36.825,4.88273
115.466,-37.2375,4.58922
115.115,-37.4677,4.39519
114.708,-37.7487,4.05922
114.264,-38.2242,3.63301
113.832,-38.8061,3.22102
113.426,-39.4702,2.88066
113.122,-40.1398,2.6041
112.9,-40.7281,2.3685
112.699,-41.3477,2.13274
112.48,-41.8632,1.82546
112.354,-42.0172,1.54565
112.435,-42.1135,1.45301
112.623,-42.4521,1.60578
112.756,-42.8894,1.84904
112.953,-43.2618,2.13071
113.317,-43.5164,2.52007
113.715,-43.7771,2.93728
113.935,-44.3462,3.28336
114.105,-45.1465,3.65286
114.369,-45.8593,4.03777
114.514,-46.5807,4.25673
114.399,-47.3046,4.41296
114.16,-47.8832,4.61813
113.999,-48.711,4.83881
113.779,-49.9288,5.16856
113.255,-51.0082,5.4593
112.513,-51.966,5.5818
111.748,-53.1344,5.7846
111.085,-54.3745,6.14774
110.545,-55.7646,6.58509
109.977,-57.4517,7.08456
109.251,-59.3111,7.50551
108.613,-61.1062,7.83688
108.03,-62.504,8.0071
107.588,-63.3585,8.1239
107.319,-63.8961,8.26671
107.275,-64.4068,8.63589
107.421,-64.8635,9.33401
107.446,-65.205,10.0177
107.23,-65.5841,10.5115
107.081,-65.7339,10.9488
107.351,-65.1264,11.5335
107.61,-63.8336,12.0164
107.567,-62.3038,12.2413
107.505,-60.7973,12.3283
107.597,-59.2908,12.387
107.806,-57.6355,12.4631
107.94,-56.0291,12.4456
108.049,-54.9299,12.2798
108.229,-53.9371,11.9325
108.5,-52.4127,11.5461
108.824,-50.5733,11.3713
109.03,-49.1006,11.2371
109.224,-48.1334,10.9989
109.543,-46.9547,10.7816
109.676,-45.0255,10.4596
109.712,-42.8484,10.0216
109.971,-40.969,9.64547
110.44,-39.3233,9.3958
110.964,-37.8423,9.2998
111.196,-36.6988,9.1574
111.168,-35.8451,8.89193
111.245,-34.9751,8.69443
111.482,-34.0031,8.72779
111.685,-33.2541,8.80804
111.789,-32.7344,8.5795
112.017,-31.9464,8.21994
112.52,-30.7128,8.08618
112.981,-29.5993,8.03798
113.191,-29.1569,7.91232
113.334,-29.0745,7.65582
113.605,-28.7069,7.23876
113.877,-28.2575,6.77068
113.921,-28.3501,6.44846
113.745,-29.0304,6.15224
113.383,-29.9734,5.61306
112.94,-30.7863,4.82772
112.665,-31.1928,4.38131
112.727,-31.5012,4.23489
112.74,-32.1875,4.03552
112.509,-33.1562,3.74413
112.228,-34.1231,3.48711
112.029,-35.0759,3.37501
111.808,-36.0257,3.39138
111.557,-36.9379,3.44371
111.318,-37.7658,3.46648
111.009,-38.5004,3.54299
110.666,-39.3354,3.71437
110.434,-40.2892,3.84884
110.266,-41.0498,3.82631
110.034,-41.6145,3.68479
109.636,-42.2985,3.49312
109.094,-43.123,3.31686
108.657,-43.758,3.2572
108.446,-44.0598,3.33325
108.317,-44.1591,3.48914
108.26,-44.1607,3.67178
108.33,-44.0832,3.85638
108.487,-43.9142,4.03595
108.671,-43.7202,4.17603
108.747,-43.6328,4.21053
108.808,-43.6378,4.23155
108.92,-43.6024,4.28059
109.018,-43.4587,4.31699
108.967,-43.3345,4.24111
108.882,-43.3509,4.15536
108.865,-43.4976,4.18908
108.915,-43.5712,4.26379
108.923,-43.4903,4.22807
108.866,-43.4732,4.10049
108.837,-43.5433,3.98732
108.826,-43.5533,3.90355
108.782,-43.548,3.8598
108.73,-43.5618,3.85962
108.814,-43.5714,3.98299
108.967,-43.569,4.15146
108.968,-43.5762,4.11849
108.913,-43.5428,3.98705
108.874,-43.5732,3.87377
108.783,-43.6191,3.74054
108.714,-43.5643,3.65963
108.688,-43.5466,3.64817
108.728,-43.6201,3.6751
108.871,-43.6534,3.78494
108.979,-43.6331,3.8685
108.96,-43.5405,3.84743
109.006,-43.4625,3.8379
109.127,-43.4945,3.87011
109.128,-43.6008,3.85754
109.112,-43.6192,3.82242
109.13,-43.55,3.78984
109.038,-43.5302,3.70335
108.877,-43.6248,3.58807
108.811,-43.7607,3.5519
108.763,-43.8487,3.51938
108.582,-43.8285,3.40516
108.386,-43.817,3.33287
108.408,-43.8538,3.37958
108.533,-43.8585,3.46251
108.515,-43.8685,3.54066
108.424,-43.9233,3.57164
108.386,-43.9676,3.4964
108.328,-43.9536,3.3082
108.191,-43.9898,3.09114
108.169,-44.111,2.98443
108.343,-44.2008,3.02859
108.492,-44.2947,3.08808
108.516,-44.4133,3.0683
108.503,-44.4361,3.01145
108.484,-44.3509,2.98458
