Y,X,Z
153,-30,-4
153,-29,-4
154,-26,-4
154,-26,-5
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
155,-18,-5
0,0,0
157,-16,-5
156,-15,-5
0,0,0
0,0,0
157,-16,-5
158,-16,-5
157,-15,-5
159,-15,-5
159,-16,-5
158,-15,-5
159,-15,-5
161,-16,-5
160,-17,-5
159,-15,-5
161,-17,-4
162,-17,-4
160,-17,-4
161,-16,-4
161,-18,-4
0,0,0
0,0,0
157,-14,-4
0,0,0
158,-10,-6
157,-15,-5
156,-17,-4
0,0,0
157,-10,-8
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
164,-32,-4
161,-36,-1
159,-39,0
0,0,0
159,-45,2
158,-46,3
160,-49,4
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
-174,-8,-9
-174,-9,-9
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
