Z,X,Y
-93.4626,-70.0307,-175.588
-93.412,-70.7703,-175.416
-93.0897,-71.1203,-174.487
-92.1388,-71.3369,-172.732
-90.4147,-71.6283,-170.373
-88.5314,-71.754,-168.224
-86.6506,-71.6835,-166.333
-84.1738,-71.9092,-163.849
-80.8881,-72.4778,-160.45
-77.8992,-72.8327,-157.272
-75.962,-72.7144,-155.165
-74.1875,-72.4598,-153.172
-71.7744,-72.467,-150.593
-69.0741,-72.6436,-147.911
-66.991,-72.6641,-145.965
-65.542,-72.535,-144.431
-64.6983,-72.3899,-143.366
-64.0224,-72.1763,-142.69
-62.8009,-72.1032,-141.719
-60.9052,-72.3371,-140.028
-59.0084,-72.5732,-138.128
-57.9971,-72.6202,-137.069
-57.6378,-72.6028,-136.714
-57.1278,-72.6786,-136.21
-56.4481,-72.7055,-135.523
-55.8228,-72.5189,-134.929
-54.9567,-72.3045,-134.154
-53.9149,-72.2319,-133.163
-53.1102,-72.1873,-132.318
-52.6893,-72.1148,-131.772
-52.3018,-71.9733,-131.315
-51.4256,-71.8767,-130.382
-50.0481,-71.9264,-128.844
-48.4416,-72.0073,-126.837
-46.6723,-71.8742,-124.409
-44.5875,-71.4918,-121.579
-41.712,-70.8054,-118.147
-38.3048,-69.9524,-114.536
-34.9621,-69.2019,-111.341
-31.8564,-68.4806,-108.488
-29.1902,-67.6103,-105.796
-27.2901,-66.8373,-103.54
-25.9546,-66.399,-101.799
-24.6523,-66.2158,-100.321
-23.2435,-66.2027,-98.847
-21.9594,-66.232,-97.4258
-20.9364,-66.1342,-96.3335
-19.7607,-65.8554,-95.3694
-18.1379,-65.4818,-94.2532
-16.4714,-65.0653,-93.1292
-15.1842,-64.705,-92.1278
-14.3711,-64.581,-91.2947
-14.02,-64.7717,-90.835
-13.8254,-65.0367,-90.5535
-13.447,-65.0489,-90.0783
-12.7333,-64.843,-89.3297
-11.9227,-64.4687,-88.5691
-11.6311,-63.861,-88.4462
-11.3564,-63.1696,-88.3565
-10.3438,-62.6863,-87.4679
-9.33329,-62.5484,-86.5451
-9.05726,-62.4992,-86.2928
-9.15865,-62.2587,-86.4204
-9.12097,-61.8049,-86.4971
-8.67373,-61.3374,-86.1663
-7.85994,-61.0213,-85.3867
-6.88627,-60.7889,-84.2856
-5.81735,-60.5924,-82.9492
-4.98844,-60.4352,-81.8004
-4.73175,-60.2579,-81.29
-4.32126,-59.9554,-80.8807
-2.93443,-59.5641,-79.611
-0.982298,-59.1716,-77.7015
0.391662,-58.8904,-76.3003
0.497254,-58.6246,-76.1269
0.210011,-57.9982,-76.3941
0.766587,-57.0491,-75.8444
1.73707,-56.232,-74.8861
2.21498,-55.7836,-74.4185
2.16438,-55.4339,-74.4055
2.1704,-55.0084,-74.2474
2.58636,-54.689,-73.7103
3.3173,-54.507,-72.9881
4.13987,-54.3493,-72.2683
4.75051,-54.1668,-71.7799
4.9299,-53.9421,-71.7048
4.90746,-53.5785,-71.76
5.19064,-53.028,-71.4543
5.93022,-52.4141,-70.7115
6.58311,-51.9481,-70.1249
6.94477,-51.6384,-69.8695
7.46308,-51.3039,-69.407
8.13408,-50.8423,-68.7069
8.85746,-50.2351,-67.9634
9.75091,-49.6217,-67.1464
10.3001,-49.1706,-66.7595
10.4724,-48.6176,-66.7816
11.1164,-47.5428,-66.3088
12.2685,-46.3021,-65.3252
13.2045,-45.3947,-64.5629
13.5605,-44.7596,-64.2249
13.3704,-44.2684,-64.1849
13.0736,-43.9625,-64.1926
13.0836,-43.7188,-63.9934
13.3063,-43.4362,-63.6308
13.4851,-43.2038,-63.3252
13.4457,-43.1208,-63.2438
13.286,-43.098,-63.2534
13.119,-43.0825,-63.2473
12.907,-43.1153,-63.3114
12.7764,-43.1161,-63.3768
12.8627,-43.0748,-63.3369
13.0595,-43.0612,-63.2585
13.026,-43.0797,-63.3619
12.7433,-43.1216,-63.6071
12.5497,-43.1191,-63.6707
12.5797,-43.1003,-63.5021
12.6471,-43.0958,-63.3611
12.6419,-43.0822,-63.3672
12.6159,-43.0523,-63.46
12.6761,-42.9804,-63.4841
12.7601,-42.8659,-63.4121
12.5956,-42.8357,-63.4963
12.2379,-42.9318,-63.7647
12.0919,-42.9411,-63.8513
12.1776,-42.8856,-63.7161
12.1828,-42.8407,-63.6983
12.0349,-42.7104,-63.801
11.8284,-42.5881,-63.9071
11.7653,-42.5299,-63.9178
11.9007,-42.4668,-63.7706
11.9892,-42.4194,-63.6375
11.9421,-42.4142,-63.6121
11.9051,-42.4143,-63.6068
12.0552,-42.3674,-63.4721
12.3325,-42.3043,-63.2547
12.4492,-42.3492,-63.1802
12.3496,-42.4538,-63.2689
12.2684,-42.4462,-63.2791
12.3027,-42.3562,-63.1483
12.2786,-42.3635,-63.1228
12.1029,-42.4239,-63.258
11.9599,-42.3724,-63.3019
11.9448,-42.2276,-63.2459
11.9445,-42.1351,-63.3087
11.9112,-42.1108,-63.4288
11.8832,-42.0968,-63.4861
11.8919,-42.0884,-63.4912
11.9635,-42.0957,-63.4596
12.0497,-42.0535,-63.4705
12.1787,-41.9915,-63.4669
12.3508,-42.0018,-63.4504
12.4473,-42.1074,-63.6098
12.5223,-42.2433,-63.9954
12.955,-42.3393,-64.263
13.6146,-42.5793,-64.3429
13.7098,-43.1772,-64.7988
13.4778,-44.0726,-65.5809
13.8795,-44.8796,-65.8942
15.2531,-45.462,-65.3212
16.9006,-45.9578,-64.4734
17.9059,-46.6998,-64.25
18.2356,-47.7625,-64.612
18.6316,-48.762,-64.8125
19.5971,-49.4259,-64.39
20.5477,-50.0729,-63.9273
20.8767,-51.1413,-64.087
21.2074,-52.416,-64.2927
22.5009,-53.4647,-63.5083
24.2711,-54.3311,-62.2865
25.4691,-55.2778,-61.6965
26.11,-56.4441,-61.5244
26.7666,-57.6907,-61.1446
27.5628,-58.6201,-60.6169
28.5984,-59.1948,-59.9183
29.88,-59.7498,-59.0445
31.0376,-60.5882,-58.3971
31.9141,-61.535,-58.0048
33.0163,-62.2972,-57.2185
34.1639,-63.0071,-56.3332
34.7425,-63.8739,-56.0686
35.0962,-64.703,-56.0189
35.8119,-65.2719,-55.5352
36.5912,-65.7437,-54.8634
36.8403,-66.4463,-54.7395
36.5592,-67.3109,-55.1887
36.3611,-67.9614,-55.4594
36.5149,-68.3982,-55.2827
36.6178,-68.8957,-55.1551
36.4726,-69.5039,-55.2818
36.297,-70.079,-55.4086
36.4548,-70.4835,-55.1036
36.9444,-70.8065,-54.4651
37.6363,-71.2452,-53.6982
38.3339,-71.9349,-52.9442
39.0952,-72.8746,-52.2214
39.9826,-73.8991,-51.4264
40.2564,-74.9719,-51.1953
39.8155,-75.9366,-51.486
39.6559,-76.6117,-51.4202
39.827,-77.0342,-51.293
39.8983,-77.2433,-51.3962
40.1168,-77.5123,-51.2247
39.5578,-78.2623,-51.6507
36.5276,-79.4888,-54.563
32.0657,-80.7189,-58.955
30.5854,-81.5349,-60.2446
33.6807,-81.7684,-56.8228
39.0689,-81.6348,-51.2178
44.734,-81.6114,-45.458
48.5763,-81.9717,-41.615
49.3262,-82.6041,-40.8007
47.4695,-83.1845,-42.4185
45.2808,-83.5107,-44.2681
45.6346,-83.5159,-43.4222
47.0418,-83.2602,-41.4339
46.0571,-82.9591,-42.118
44.6696,-82.7137,-43.4883
45.3733,-82.401,-42.8539
46.6937,-81.9137,-41.576
47.0795,-81.3646,-41.3272
47.3333,-80.9084,-41.4632
48.3208,-80.4902,-40.9592
49.0378,-80.036,-40.5853
48.9227,-79.6559,-40.9502
48.7155,-79.464,-41.3353
48.1531,-79.3539,-42.1607
46.945,-79.043,-43.7425
46.0771,-78.488,-44.8449
45.5266,-77.9233,-45.3226
44.1816,-77.6724,-46.6616
42.2088,-77.6576,-48.8312
41.2765,-77.5132,-49.7951
40.5189,-77.2627,-50.4704
38.3725,-77.1282,-52.6915
35.2645,-77.1466,-56.03
31.5956,-77.2351,-60.003
27.689,-77.1839,-64.1765
23.8967,-77.0817,-68.0063
20.2874,-77.021,-71.5667
18.2114,-76.9186,-73.6251
16.9187,-77.0033,-75.0936
14.4034,-77.4357,-77.9876
11.1779,-77.8371,-81.5465
9.38722,-78.0101,-83.6466
10.0332,-78.0687,-83.4485
11.4074,-78.166,-82.487
10.8204,-78.3756,-83.293
8.34844,-78.4903,-85.9479
6.66505,-78.4062,-87.8239
6.3087,-78.1372,-88.328
6.01317,-77.7671,-88.732
5.03134,-77.376,-89.8462
3.96193,-77.0961,-91.1273
3.45055,-76.9955,-91.8019
3.40476,-76.9534,-91.9547
3.66146,-76.7125,-92.0902
3.57883,-75.937,-93.493
4.86701,-74.3621,-94.8509
10.0267,-72.3556,-92.9623
17.1828,-71.0308,-88.1749
20.9983,-71.698,-85.1795
18.5532,-74.5312,-88.0739
14.5826,-77.8677,-92.5524
16.3756,-79.9822,-90.9148
20.079,-80.7619,-87.0349
18.0461,-81.8165,-88.605
5.07376,-83.9507,-101.1
-25.4171,-85.9009,-131.358
-62.1637,-86.9094,-167.433
-102.951,-87.0372,153.04
-124.343,-85.3489,132.006
-132.061,-83.4992,123.662
-142.565,-82.0268,113.473
-149.563,-80.1515,107.793
-148.693,-78.3433,109.266
-146.413,-77.2478,111.721
-146.631,-76.2048,112.545
-146.412,-74.873,113.852
-144.781,-73.6307,115.97
-143.614,-72.6339,117.389
-142.881,-71.8291,118.109
-141.846,-71.2559,118.824
-141.046,-70.8161,119.452
-140.633,-70.3826,119.854
-139.928,-69.9284,120.401
-138.669,-69.3285,121.683
-137.07,-68.5201,123.568
-135.451,-67.6662,125.275
-133.84,-66.6387,126.811
-132.596,-64.7361,128.525
-132.122,-61.3344,130.344
-132.278,-56.9066,131.42
-134.136,-53.4758,130.642
-138.273,-51.8359,129.098
-141.36,-50.9597,129.116
-140.284,-50.4441,131.456
-137.027,-49.8091,135.301
-133.719,-48.8722,139.868
-130.199,-48.3597,144.465
-126.184,-49.0846,148.764
-121.725,-50.5795,153.12
-117.495,-52.3755,157.42
-113.885,-54.1919,161.356
-109.503,-55.6586,165.314
-102.39,-57.4388,170.567
-93.8581,-59.519,177.162
-87.9546,-60.8323,-177.662
-85.1734,-61.599,-175.337
-83.5394,-62.7306,-174.7
-83.3448,-64.0571,-175.617
-85.1595,-64.5522,-177.963
-88.9365,-63.9138,178.652
-94.2219,-63.1178,174.24
-98.9372,-62.7659,169.96
-102.439,-62.5072,166.73
-105.413,-62.0087,164.241
-108.031,-61.3188,161.793
-110.862,-60.6553,158.815
-113.696,-60.1283,155.809
-115.314,-59.5428,153.971
-115.897,-58.886,153.169
-116.361,-58.458,152.525
-116.791,-58.2265,151.846
-117.077,-57.9509,151.315
-117.229,-57.6661,151.082
-117.395,-57.5222,150.988
-117.559,-57.4725,150.912
-117.476,-57.2497,151.056
-117.245,-56.855,151.328
-117.147,-56.6045,151.538
-117.032,-56.4482,151.799
-116.894,-56.2988,152.006
-116.905,-56.2166,151.893
-117.091,-56.1003,151.518
-117.138,-55.9051,151.387
-116.851,-55.7298,151.625
-116.599,-55.5776,151.936
-116.787,-55.2644,151.931
-117.284,-54.9901,151.694
-117.532,-54.7289,151.703
-117.568,-54.2055,151.711
-119.039,-53.6531,150.435
-123.03,-53.1496,147.629
-127.148,-51.9116,145.582
-128.001,-50.0433,145.498
-126.739,-49.5457,145.684
-125.072,-51.1163,146.107
-122.157,-52.9868,148.167
-118.015,-54.2733,151.668
-113.559,-55.0838,156.139
-108.877,-55.3172,161.472
-103.05,-55.7735,167.996
-96.3491,-56.7633,175.031
-90.7244,-57.544,-179.33
-87.2409,-57.5624,-175.875
-85.2137,-57.1848,-174.291
-83.3123,-57.5184,-173.439
-81.6502,-58.6228,-172.946
-80.8999,-59.5103,-173.185
-80.2045,-60.0718,-173.562
-79.4358,-60.5617,-173.885
-80.1473,-60.679,-175.098
-82.1663,-60.9632,-176.948
-85.7001,-61.8031,179.911
-91.4252,-62.1531,174.803
-97.5502,-61.5592,169.563
-102.284,-60.7513,165.71
-105.73,-60.0962,162.835
-108.249,-59.383,160.401
-109.972,-58.8875,158.397
-111.751,-59.0529,156.568
-114.205,-59.278,154.414
-115.841,-59.0233,152.807
-117.247,-58.7358,151.491
-120.447,-58.3612,149.124
-123.779,-57.5538,146.511
-125.175,-57.0322,144.908
-125.912,-57.0766,143.676
-127.134,-57.1648,142.366
-127.771,-56.986,141.792
-127.763,-56.7494,141.867
-127.876,-56.7333,142.008
-128.215,-56.6397,142.164
-128.816,-56.1939,142.299
-129.456,-55.6137,142.387
-129.833,-55.1611,142.7
-130.178,-54.8031,143.002
-130.464,-54.6325,143.12
-130.642,-54.6056,143.145
-130.619,-54.6547,143.398
-130.719,-54.8914,143.678
-131.651,-55.1948,143.286
-133.052,-55.2182,142.616
-134.612,-54.9459,142.159
-136.217,-54.466,142.176
-136.988,-54.0701,142.955
-136.749,-54.7216,143.94
-135.839,-56.5499,145.039
-134.279,-58.7014,146.572
-131.848,-60.5811,148.676
-128.482,-62.0601,151.374
-125.028,-63.0844,154.02
-122.371,-63.6046,155.927
-120.879,-63.5356,156.839
-121.831,-63.3788,155.557
-125.071,-63.7149,152.236
-128.742,-64.1488,148.616
-131.533,-63.9903,145.892
-133.316,-63.1708,144.062
-134.964,-62.4142,142.32
-136.847,-61.772,140.298
-138.721,-61.0047,138.19
-140.526,-60.4768,136.192
-141.798,-60.1616,134.825
-142.017,-59.949,134.549
-142.128,-60.0766,134.38
-142.591,-60.3886,133.56
-142.874,-60.6185,132.934
-142.813,-60.667,132.843
-142.678,-60.5716,132.998
