Z,X,Y
-128.822,-64.1766,150.536
-128.514,-64.0499,151.012
-128.314,-63.8895,151.432
-127.864,-63.787,152.048
-127.108,-63.6971,152.886
-126.705,-63.6004,153.357
-126.449,-63.5916,153.656
-125.936,-63.618,154.175
-125.428,-63.4649,154.635
-125.194,-63.2664,154.756
-125.067,-63.2888,154.701
-124.776,-63.421,154.875
-123.93,-63.6165,155.733
-122.538,-63.7086,157.173
-121.112,-63.3339,158.381
-120.023,-63.1269,159.135
-119.597,-63.9207,159.781
-118.924,-64.798,161.26
-116.599,-64.7593,164.031
-113.163,-64.3852,167.457
-109.449,-64.5707,171.353
-105.287,-64.7369,175.885
-101.209,-64.0978,179.956
-97.6251,-63.5439,-176.886
-93.9311,-63.758,-173.692
-90.2333,-64.0171,-170.437
-86.9097,-63.7723,-167.409
-84.223,-63.1552,-164.778
-81.9374,-62.4508,-162.653
-79.5881,-62.0092,-160.625
-77.2332,-62.1251,-158.405
-74.9549,-62.4262,-156.087
-72.5373,-61.8519,-153.961
-69.648,-60.4373,-151.797
-66.6142,-59.4176,-149.248
-63.9035,-59.3391,-146.495
-61.4924,-59.3731,-143.977
-59.4076,-58.8015,-142.218
-57.1382,-58.004,-140.385
-54.4478,-57.3838,-138.099
-51.948,-56.9039,-136.011
-49.9129,-56.439,-134.29
-48.0244,-55.864,-132.455
-46.2982,-55.1999,-130.514
-44.958,-54.6261,-128.892
-44.0377,-54.0196,-127.702
-43.4387,-53.2485,-126.921
-42.9713,-52.6702,-126.531
-42.5213,-52.4329,-126.416
-41.2756,-52.2597,-125.155
-39.477,-52.0318,-123.231
-38.0769,-51.691,-121.862
-37.0631,-51.3442,-120.953
-36.0624,-51.1517,-120.137
-35.1239,-51.031,-119.403
-34.3755,-50.8423,-118.799
-33.5726,-50.5498,-118.108
-32.3108,-50.2182,-116.967
-30.9484,-49.9698,-115.781
-29.9388,-49.6841,-115.038
-29.1093,-49.21,-114.492
-28.3816,-48.7477,-113.986
-27.8434,-48.4918,-113.696
-27.2054,-48.4935,-113.374
-26.3424,-48.6333,-112.812
-25.5406,-48.6615,-112.271
-25.0397,-48.5793,-112.008
-24.6948,-48.4274,-111.935
-24.3002,-48.2799,-111.831
-23.9323,-48.1973,-111.723
-23.7839,-48.0976,-111.737
-23.4347,-47.9225,-111.428
-22.0942,-47.7261,-110.018
-19.5204,-47.3589,-107.209
-16.3627,-46.6139,-103.524
-13.9892,-45.3028,-100.586
-13.6296,-43.3786,-100.15
-14.694,-41.1112,-101.565
-15.2907,-38.8533,-102.653
-14.6121,-37.2638,-102.552
-12.9981,-36.4777,-101.563
-10.738,-35.9953,-99.9325
-8.33468,-35.4639,-98.1416
-6.77329,-34.5766,-97.1762
-6.50694,-33.5763,-97.3391
-6.69031,-32.8594,-97.6216
-6.09031,-32.4015,-96.7351
-4.52154,-31.9085,-94.8364
-3.00709,-31.2111,-93.5575
-2.45021,-30.3787,-93.8128
-2.60551,-29.6413,-94.3895
-2.51267,-29.2668,-93.8235
-1.60024,-29.1345,-92.2671
-0.207227,-28.9357,-91.0896
1.02862,-28.7505,-90.9781
2.04181,-28.7626,-91.1403
3.09877,-28.7667,-90.5456
4.11467,-28.5911,-89.2528
4.73453,-28.3799,-88.1133
4.80405,-28.1648,-87.874
4.42282,-27.8905,-88.5124
3.99278,-27.6677,-89.1943
4.16142,-27.5983,-88.8915
4.98139,-27.5645,-87.4497
5.83708,-27.4705,-85.8348
6.40161,-27.258,-84.9837
6.6342,-26.8806,-85.2128
6.66086,-26.4827,-86.056
7.05559,-26.252,-86.3022
8.12291,-26.1563,-85.4074
9.39151,-26.0335,-84.2604
10.1281,-25.97,-84.036
10.3036,-26.2235,-84.6661
10.6464,-26.6873,-85.0331
11.4691,-27.0122,-84.43
12.0882,-27.0537,-83.5759
11.8951,-26.9671,-83.6773
11.1933,-26.8463,-84.6616
10.9541,-26.6581,-85.2276
11.4207,-26.6503,-84.6557
11.8589,-26.8597,-83.7341
11.881,-26.8933,-83.3701
11.6488,-26.7578,-83.6586
11.6437,-26.7585,-83.9699
12.2933,-26.8091,-83.6453
13.1781,-26.8753,-82.9355
13.556,-26.7992,-82.7256
13.2242,-26.5903,-83.335
12.6928,-26.4932,-84.0468
12.7798,-26.5944,-83.8843
13.4774,-26.6693,-82.9404
13.8766,-26.4363,-82.291
13.5184,-26.0454,-82.4854
12.9532,-25.8024,-82.8733
12.9268,-25.6571,-82.6705
13.314,-25.5372,-82.0697
13.5579,-25.4086,-81.8086
13.6433,-25.2998,-81.9214
13.9062,-25.2869,-81.8682
14.3056,-25.3316,-81.5458
14.3944,-25.2457,-81.3446
14.1265,-24.9514,-81.4523
13.7967,-24.6949,-81.7395
13.6762,-24.6641,-81.8596
13.8836,-24.7269,-81.5982
14.1396,-24.7306,-81.1971
14.1882,-24.6503,-81.0447
14.0703,-24.5148,-81.1139
14.0539,-24.4353,-81.1213
14.4251,-24.4484,-80.8988
15.0969,-24.5734,-80.5671
15.7554,-24.7575,-80.256
16.1969,-24.9152,-80.0799
16.4071,-25.0265,-79.8232
16.636,-25.036,-79.2498
16.9075,-24.989,-78.5731
17.1065,-24.9355,-78.0927
17.1028,-24.8783,-77.8914
16.9898,-24.7893,-77.9246
16.9985,-24.6424,-77.9324
17.0816,-24.4115,-77.8072
17.1531,-24.193,-77.6883
17.2938,-24.1188,-77.6224
17.591,-24.0898,-77.4725
17.9056,-24.0189,-77.2945
17.9011,-23.998,-77.2396
17.6558,-24.1172,-77.3019
