1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-69.773,-22.325,-36.594,-48.227,-47.493,-3.9825,-28.036,-65.362,7.0589,-4.83E-07,5.43E-06,-7.97E-06,76.004,-38.622,18.227,-6.1884,-90.801,-45.688,-1.77E-05,5.38E-06,6.48E-07,10.314,44.39,-21.312
-69.729,-22.253,-36.461,-48.147,-47.117,-3.5996,-27.765,-65.389,7.1631,-4.83E-07,5.43E-06,-7.97E-06,75.961,-38.928,18.603,-6.2108,-90.835,-45.672,-1.77E-05,5.38E-06,6.48E-07,10.245,44.959,-21.527
-69.683,-22.155,-36.211,-47.959,-47.195,-3.5095,-27.295,-65.214,7.7842,-4.83E-07,5.43E-06,-7.97E-06,75.972,-39.896,19.457,-6.2271,-90.913,-45.51,-1.77E-05,5.38E-06,6.48E-07,10.508,45.182,-21.331
-69.66,-21.994,-35.776,-47.659,-47.552,-3.7137,-26.712,-64.911,8.7418,-4.83E-07,5.43E-06,-7.97E-06,76.004,-41.387,20.701,-6.2143,-91.006,-45.2,-1.77E-05,5.38E-06,6.48E-07,11.073,45.18,-20.813
-69.612,-21.837,-35.445,-47.471,-47.646,-3.9045,-26.441,-64.873,9.0512,-4.83E-07,5.43E-06,-7.97E-06,75.901,-41.528,20.851,-6.1792,-91.058,-44.979,-1.77E-05,5.38E-06,6.48E-07,11.281,45.554,-20.628
-69.554,-21.714,-35.179,-47.372,-47.296,-3.7567,-26.251,-64.964,9.0295,-4.83E-07,5.43E-06,-7.97E-06,75.797,-41.188,20.694,-6.1475,-91.104,-44.816,-1.77E-05,5.38E-06,6.48E-07,11.307,46.278,-20.726
-69.508,-21.64,-34.916,-47.31,-46.38,-2.9735,-25.87,-65.026,9.0804,-4.83E-07,5.43E-06,-7.97E-06,75.83,-41.316,21.049,-6.1417,-91.179,-44.661,-1.77E-05,5.38E-06,6.48E-07,11.371,47.265,-21.006
-69.479,-21.581,-34.71,-47.367,-43.653,-0.38377,-24.955,-65.157,9.0304,-4.83E-07,5.43E-06,-7.97E-06,75.974,-39.652,19.604,-6.1528,-91.164,-44.666,-1.77E-05,5.38E-06,6.48E-07,10.91,49.102,-22.326
-69.465,-21.495,-34.512,-47.321,-41.236,2.0226,-24.147,-65.309,8.8622,-4.83E-07,5.43E-06,-7.97E-06,76.067,-38.149,18.203,-6.1564,-91.068,-44.703,-1.77E-05,5.38E-06,6.48E-07,10.545,50.757,-23.514
-69.466,-21.313,-34.237,-47.108,-42.85,0.83783,-24.547,-65.324,8.5562,-4.83E-07,5.43E-06,-7.97E-06,75.897,-40.45,20.331,-6.1115,-90.922,-44.538,-1.77E-05,5.38E-06,6.48E-07,11.352,50.462,-22.603
-69.445,-21.203,-34.017,-46.914,-43.855,0.1697,-24.714,-65.507,8.1148,-4.83E-07,5.43E-06,-7.97E-06,75.759,-42.486,22.273,-6.0726,-90.797,-44.399,-1.77E-05,5.38E-06,6.48E-07,12.066,50.65,-21.936
-69.408,-21.194,-33.862,-46.789,-43.484,0.70944,-24.397,-65.833,7.6515,-4.83E-07,5.43E-06,-7.97E-06,75.739,-43.625,23.412,-6.0502,-90.712,-44.313,-1.77E-05,5.38E-06,6.48E-07,12.439,51.621,-21.92
-69.401,-21.216,-33.676,-46.547,-43.823,0.64732,-24.236,-65.992,7.4456,-4.83E-07,5.43E-06,-7.97E-06,75.697,-45.69,25.267,-6.0155,-90.65,-44.151,-1.77E-05,5.38E-06,6.48E-07,13.127,51.995,-21.41
-69.409,-21.113,-33.425,-46.351,-44.057,0.59424,-24.13,-66.114,7.2799,-4.83E-07,5.43E-06,-7.97E-06,75.659,-47.194,26.633,-5.9935,-90.611,-43.984,-1.77E-05,5.38E-06,6.48E-07,13.64,52.34,-21.073
-69.417,-20.782,-33.098,-46.333,-43.541,1.0426,-23.986,-66.319,6.9696,-4.83E-07,5.43E-06,-7.97E-06,75.674,-47.004,26.599,-6.0038,-90.597,-43.873,-1.77E-05,5.38E-06,6.48E-07,13.577,53.121,-21.442
