-71.502,-18.46,-36.625,-47.235,-55.272,-10.875,-30.578,-60.629,3.069,-2.2644e-07,0.00025252,-0.00034814,75.385,-63.926,44.007,-8.4757,-89.527,-44.026,-0.00087694,0.00025122,3.0374e-07,6.542,26.303,-17.004
-71.28,-18.792,-37.023,-47.74,-55.539,-10.793,-30.848,-61.285,3.3044,-2.2644e-07,0.00025254,-0.00034817,76.07,-63.078,42.95,-8.4429,-90.332,-44.503,-0.00087701,0.00025123,3.0374e-07,6.6549,26.99,-17.331
-71.057,-19.126,-37.41,-48.238,-55.779,-10.689,-31.101,-61.944,3.5468,-2.2644e-07,0.00025255,-0.00034819,76.746,-62.194,41.86,-8.4052,-91.13,-44.974,-0.00087708,0.00025125,3.0374e-07,6.7778,27.72,-17.663
-70.835,-19.458,-37.783,-48.726,-55.988,-10.565,-31.337,-62.599,3.7947,-2.2644e-07,0.00025257,-0.00034822,77.408,-61.28,40.743,-8.3629,-91.913,-45.436,-0.00087715,0.00025127,3.0374e-07,6.9101,28.487,-17.999
-70.614,-19.788,-38.14,-49.2,-56.165,-10.419,-31.553,-63.247,4.0466,-2.2644e-07,0.0002526,-0.00034825,78.051,-60.338,39.605,-8.316,-92.676,-45.886,-0.00087723,0.00025129,3.0374e-07,7.051,29.287,-18.336
-70.398,-20.112,-38.477,-49.655,-56.307,-10.253,-31.747,-63.882,4.301,-2.2644e-07,0.00025262,-0.00034829,78.671,-59.376,38.452,-8.2646,-93.412,-46.32,-0.00087731,0.00025131,3.0374e-07,7.1995,30.115,-18.671
-70.187,-20.428,-38.791,-50.089,-56.412,-10.066,-31.916,-64.499,4.5565,-2.2644e-07,0.00025264,-0.00034832,79.261,-58.396,37.292,-8.209,-94.115,-46.734,-0.0008774,0.00025134,3.0374e-07,7.3551,30.968,-19.003
-69.982,-20.735,-39.079,-50.497,-56.475,-9.8596,-32.059,-65.094,4.8115,-2.2644e-07,0.00025267,-0.00034836,79.817,-57.405,36.129,-8.1491,-94.78,-47.126,-0.00087748,0.00025136,3.0374e-07,7.5167,31.84,-19.33
-69.787,-21.029,-39.338,-50.875,-56.497,-9.6329,-32.173,-65.661,5.0645,-2.2644e-07,0.0002527,-0.0003484,80.333,-56.406,34.971,-8.0853,-95.399,-47.491,-0.00087757,0.00025139,3.0374e-07,7.6837,32.726,-19.648
-69.602,-21.308,-39.566,-51.221,-56.472,-9.3866,-32.257,-66.196,5.3141,-2.2644e-07,0.00025273,-0.00034845,80.804,-55.405,33.824,-8.0175,-95.967,-47.826,-0.00087766,0.00025142,3.0374e-07,7.8552,33.623,-19.957
-69.428,-21.57,-39.758,-51.53,-56.4,-9.1211,-32.307,-66.694,5.5587,-2.2644e-07,0.00025276,-0.00034849,81.226,-54.406,32.694,-7.9461,-96.479,-48.128,-0.00087776,0.00025145,3.0374e-07,8.0305,34.526,-20.253
-69.268,-21.814,-39.913,-51.798,-56.279,-8.8368,-32.323,-67.15,5.797,-2.2644e-07,0.00025279,-0.00034853,81.593,-53.414,31.587,-7.871,-96.927,-48.394,-0.00087785,0.00025148,3.0374e-07,8.2087,35.43,-20.535
-69.123,-22.036,-40.029,-52.024,-56.106,-8.5339,-32.302,-67.561,6.0276,-2.2644e-07,0.00025283,-0.00034858,81.902,-52.434,30.51,-7.7926,-97.308,-48.621,-0.00087794,0.00025152,3.0374e-07,8.3891,36.332,-20.8
-68.993,-22.235,-40.102,-52.204,-55.88,-8.2132,-32.244,-67.922,6.249,-2.2644e-07,0.00025286,-0.00034863,82.149,-51.471,29.468,-7.7111,-97.618,-48.806,-0.00087804,0.00025155,3.0374e-07,8.5711,37.227,-21.047
