,Hand_L,Hand_R,Elbow_L,Elbow_R,Forearm_L,Forearm_R,Shoulder_L,Shoulder_R,Shoulder_pitch_L,Shoulder_pitch_R
133,-3332.0719725318863,3122.122682741791,-1555.9224684232136,1574.68326193359,1874.486599967908,-2445.417093340703,-2292.2314239989796,2277.2654256204173,691.9427479022069,396.04537158988694
134,-3237.2771888153848,2917.29789573007,-1576.8799884664293,1573.4717781643246,1824.1308042595506,-2493.994510692949,-2306.573274280907,2280.865435701919,689.7853444854926,437.9324594752492
135,-3354.918063186589,2877.8083783973248,-1632.0212468046773,1617.5689961159642,1877.1523591365553,-2640.8513706879617,-2308.393816596332,2261.831640259434,639.3043630304145,458.76896916617625
136,-3426.59183367174,2954.626069398667,-1741.9556186778022,1589.1581141556608,1886.2903857834121,-2711.4631849476073,-2300.3255749787986,2251.3732094452535,682.9715283719315,590.0214432945919
137,-3460.738847887461,3036.96846590642,-1758.7769528916115,1561.057764576645,1846.2459508910797,-2731.3158127899765,-2316.437133505111,2254.4722260036015,784.8334655029422,698.691841290196
138,-3457.5340048166363,2863.787937310262,-1716.7874525915313,1496.1404713350912,1849.459234659471,-2777.8354626128266,-2341.1724730418605,2259.9750953513126,892.7289154172523,710.9945514130136
139,-3341.7815027667966,2762.543233022469,-1639.4059187027538,1431.9755450573286,1763.5877562464034,-2773.022845524599,-2372.2024725919578,2181.5240127047946,1048.7295963601266,644.2392580769077
140,-3416.864792865466,2841.126877994359,-1649.8867372623083,1518.843293411887,1737.5950769243143,-2834.4007897042407,-2362.7228357602044,2199.2266018955925,1047.258605363118,664.3887462030109
141,-3403.230990684803,2782.128733759644,-1633.7603993558223,1491.6427208109528,1911.5409377893448,-2772.461565663877,-2348.523525548568,2209.1987441941055,978.1681953779297,657.5467865413168
142,-3478.74807146124,2713.810318420992,-1627.5509121612142,1443.4059650568174,1930.2494400966968,-2743.5562748404286,-2333.0722730030934,2214.2144374754303,958.5710439982648,664.5110097007514
143,-3322.143120436617,2678.151286400857,-1681.6732124104183,1398.1212140310888,2021.0736752107357,-2719.7906288311165,-2323.4242335476597,2200.7770002174866,931.1852389992562,678.0410133504057
144,-3327.7980637476817,2816.931759240698,-1703.0980896146139,1315.880777869523,2031.5692695323492,-2660.052502922573,-2325.0399348913447,2205.2365339504204,911.5125626504145,631.3731482525507
145,-3317.507447496067,2851.074949940139,-1672.4173293637464,1250.9661761558662,2046.4039323656218,-2639.1224141507196,-2318.147963094478,2202.667313212421,880.2122416830437,576.067522843409
146,-3268.0230752253256,2837.8019394711846,-1601.0316602007128,1254.1565593611315,2074.5310029455723,-2644.680994138624,-2320.1070634509842,2201.6242336375076,849.419566500592,556.599459516275
