No,Foot_L,Foot_R,Foot_pitch_L,Hand_L,Foot_pitch_R,Hand_R,Knee_L,Elbow_L,Thigh_pitch_L,Elbow_R,Thigh_pitch_R,Forearm_L,Knee_R,Forearm_R,Hiproll_L,Shoulder_L,Hiproll_R,Shoulder_R,Hip,Moe,Hip_R,Head,Shoulder_pitch_L,Head_pitch,Shoulder_pitch_R
9692,-211.1428571,195,1225.095238,-2862,-1628.52381,2955,3546.142857,-1194,-3502.666667,1920,2753.142857,1130,-2197.047619,-53,730.7142857,-1213,378.952381,2234,-667.047619,-330.8571429,-700.4285714,-585.6666667,1904.857143,359.8095238,-2087.619048
9693,-214.7142857,227,1221.142857,-2862,-1618.285714,2955,3545.714286,-1194,-3466,1920,2752.714286,1130,-2170.571429,-53,732.5714286,-1213,350.4285714,2234,-660.5714286,-313.2857143,-695.1428571,-487,1884.285714,330.7142857,-2057.428571
9694,-218.2857143,259,1217.190476,-2862,-1608.047619,2955,3545.285714,-1194,-3429.333333,1920,2752.285714,1130,-2144.095238,-53,734.4285714,-1213,321.9047619,2234,-654.0952381,-295.7142857,-689.8571429,-388.3333333,1863.714286,301.6190476,-2027.238095
9695,-221.8571429,291,1213.238095,-2862,-1597.809524,2955,3544.857143,-1194,-3392.666667,1920,2751.857143,1130,-2117.619048,-53,736.2857143,-1213,293.3809524,2234,-647.6190476,-278.1428571,-684.5714286,-289.6666667,1843.142857,272.5238095,-1997.047619
9696,-225.4285714,323,1209.285714,-2862,-1587.571429,2955,3544.428571,-1194,-3356,1920,2751.428571,1130,-2091.142857,-53,738.1428571,-1213,264.8571429,2234,-641.1428571,-260.5714286,-679.2857143,-191,1822.571429,243.4285714,-1966.857143
9697,-229,355,1205.333333,-2862,-1577.333333,2955,3544,-1194,-3319.333333,1920,2751,1130,-2064.666667,-53,740,-1213,236.3333333,2234,-634.6666667,-243,-674,-92.33333333,1802,214.3333333,-1936.666667
9698,-232.5714286,387,1201.380952,-2862,-1567.095238,2955,3543.571429,-1194,-3282.666667,1920,2750.571429,1130,-2038.190476,-53,741.8571429,-1213,207.8095238,2234,-628.1904762,-225.4285714,-668.7142857,6.333333333,1781.428571,185.2380952,-1906.47619
9699,-236.1428571,419,1197.428571,-2862,-1556.857143,2955,3543.142857,-1194,-3246,1920,2750.142857,1130,-2011.714286,-53,743.7142857,-1213,179.2857143,2234,-621.7142857,-207.8571429,-663.4285714,105,1760.857143,156.1428571,-1876.285714
9700,-239.7142857,451,1193.47619,-2862,-1546.619048,2955,3542.714286,-1194,-3209.333333,1920,2749.714286,1130,-1985.238095,-53,745.5714286,-1213,150.7619048,2234,-615.2380952,-190.2857143,-658.1428571,203.6666667,1740.285714,127.047619,-1846.095238
9701,-243.2857143,483,1189.52381,-2862,-1536.380952,2955,3542.285714,-1194,-3172.666667,1920,2749.285714,1130,-1958.761905,-53,747.4285714,-1213,122.2380952,2234,-608.7619048,-172.7142857,-652.8571429,302.3333333,1719.714286,97.95238095,-1815.904762
9702,-246.8571429,515,1185.571429,-2862,-1526.142857,2955,3541.857143,-1194,-3136,1920,2748.857143,1130,-1932.285714,-53,749.2857143,-1213,93.71428571,2234,-602.2857143,-155.1428571,-647.5714286,401,1699.142857,68.85714286,-1785.714286
9703,-250.4285714,547,1181.619048,-2862,-1515.904762,2955,3541.428571,-1194,-3099.333333,1920,2748.428571,1130,-1905.809524,-53,751.1428571,-1213,65.19047619,2234,-595.8095238,-137.5714286,-642.2857143,499.6666667,1678.571429,39.76190476,-1755.52381
9704,-254,579,1177.666667,-2862,-1505.666667,2955,3541,-1194,-3062.666667,1920,2748,1130,-1879.333333,-53,753,-1213,36.66666667,2234,-589.3333333,-120,-637,598.3333333,1658,10.66666667,-1725.333333
9705,-257.5714286,611,1173.714286,-2862,-1495.428571,2955,3540.571429,-1194,-3026,1920,2747.571429,1130,-1852.857143,-53,754.8571429,-1213,8.142857143,2234,-582.8571429,-102.4285714,-631.7142857,697,1637.428571,-18.42857143,-1695.142857
9706,-261.1428571,643,1169.761905,-2862,-1485.190476,2955,3540.142857,-1194,-2989.333333,1920,2747.142857,1130,-1826.380952,-53,756.7142857,-1213,-20.38095238,2234,-576.3809524,-84.85714286,-626.4285714,795.6666667,1616.857143,-47.52380952,-1664.952381
9707,-264.7142857,675,1165.809524,-2862,-1474.952381,2955,3539.714286,-1194,-2952.666667,1920,2746.714286,1130,-1799.904762,-53,758.5714286,-1213,-48.9047619,2234,-569.9047619,-67.28571429,-621.1428571,894.3333333,1596.285714,-76.61904762,-1634.761905
9708,-268.2857143,707,1161.857143,-2862,-1464.714286,2955,3539.285714,-1194,-2916,1920,2746.285714,1130,-1773.428571,-53,760.4285714,-1213,-77.42857143,2234,-563.4285714,-49.71428571,-615.8571429,993,1575.714286,-105.7142857,-1604.571429
9709,-271.8571429,739,1157.904762,-2862,-1454.47619,2955,3538.857143,-1194,-2879.333333,1920,2745.857143,1130,-1746.952381,-53,762.2857143,-1213,-105.952381,2234,-556.952381,-32.14285714,-610.5714286,1091.666667,1555.142857,-134.8095238,-1574.380952
9710,-275.4285714,771,1153.952381,-2862,-1444.238095,2955,3538.428571,-1194,-2842.666667,1920,2745.428571,1130,-1720.47619,-53,764.1428571,-1213,-134.4761905,2234,-550.4761905,-14.57142857,-605.2857143,1190.333333,1534.571429,-163.9047619,-1544.190476
9711,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9712,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9713,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9714,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9715,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9716,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9717,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9718,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9719,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9720,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9721,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9722,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9723,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9724,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9725,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9726,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9727,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9728,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9729,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9730,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9731,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9732,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9733,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9734,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9735,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9736,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,3,-600,1289,1514,-193,-1514
9737,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,1.823529412,-600,1254.529412,1514,-186.7058824,-1514
9738,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,0.647058824,-600,1220.058824,1514,-180.4117647,-1514
9739,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,-0.529411765,-600,1185.588235,1514,-174.1176471,-1514
9740,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,-1.705882353,-600,1151.117647,1514,-167.8235294,-1514
9741,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,-2.882352941,-600,1116.647059,1514,-161.5294118,-1514
9742,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,-4.058823529,-600,1082.176471,1514,-155.2352941,-1514
9743,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,-5.235294118,-600,1047.705882,1514,-148.9411765,-1514
9744,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,-6.411764706,-600,1013.235294,1514,-142.6470588,-1514
9745,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,-7.588235294,-600,978.7647059,1514,-136.3529412,-1514
9746,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,-8.764705882,-600,944.2941176,1514,-130.0588235,-1514
9747,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,-9.941176471,-600,909.8235294,1514,-123.7647059,-1514
9748,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,-11.11764706,-600,875.3529412,1514,-117.4705882,-1514
9749,-279,803,1150,-2862,-1434,2955,3538,-1194,-2806,1920,2745,1130,-1694,-53,766,-1213,-163,2234,-544,-12.29411765,-600,840.8823529,1514,-111.1764706,-1514
